WD Teff logg E(B-V) F336W F475W F625W F775W F160W dF336W dF475W dF625W dF775W dF160W dTeff dlogg
SDSS-J010322.19-002047.7 59525 7.53 0.04 17.316 19.181 19.433 19.588 20.105 0.003 0.003 0.003 0.004 0.005 260.0 0.02
WD0225-086 22321 7.89 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
WD0408-066 57000 7.5 0.00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
WD0554-165 52600 8.2 0.00 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
WD0812+076 33296 7.14 0.03 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
SDSS-J102430.93-003207.0 40621 7.75 0.11 17.287 18.995 19.179 19.291 19.718 0.004 0.003 0.003 0.003 0.005 124.0 0.01
WD1204+023 23647 7.89 0.04 17.273 18.767 18.921 19.033 19.443 0.003 0.002 0.002 0.003 0.004 46.0 0.01
WD1300+104 40908 7.85 0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
WD1312-029 43130 7.81 0.06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
WD1511+009 28355 7.82 0.05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
WD1635+008 64610 7.43 0.12 17.084 18.916 19.145 19.279 19.743 0.003 0.002 0.003 0.003 0.004 425.0 0.02
WD1719+297 9426 8.26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
WD2034-053 37833 7.89 0.09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
WD2059-059 28682 7.90 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
WD2327-000 21266 7.88 0.07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
GD153 40320 7.93 0.00 11.348 13.182 13.455 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
GD153x 41408 7.93 0.00 11.348 13.182 13.455 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001
